N,layer,timing_block,order_position,method_id,method_name,residual_seed,randomized,completed_iterations,stop_reason,true_relative_residual,independent_preconditioned_relative_residual,computed_internal_relative_residual,maximum_basis_rank,maximum_solution_rank,peak_basis_storage_mib,sketch_matrix_rank,sketch_matrix_condition,basis_orthogonality_error_fro,rank_cap_active,breakdown,memory_limit_active,solver_time_sec,diagnostic_time_sec,wall_time_sec,timing_closure_relative_error,internal_to_independent_residual_ratio
150,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,1,100,iteration_limit,1.33863031498754e-05,1.09538287524641e-10,7.21270685110586e-11,49,12,45.6963577270508,100,1064.95398376639,1.78543934158416e-09,0,0,0,15.9637642083333,0.965136958333333,16.9289365,2.08715611471582e-06,0.658464452393722
150,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,1,100,iteration_limit,1.42324007872509e-05,1.05454288122025e-10,5.32266023318681e-11,49,12,45.8375396728516,100,1784.77858777642,1.88947055568771e-09,0,0,0,15.630791125,0.967945625,16.598758125,1.287746940994e-06,0.50473625378114
200,accuracy,NaN,NaN,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,2.4315885046627e-05,3.2585409525358e-10,1.27246573498741e-10,118,13,270.708763122559,NaN,NaN,NaN,0,0,0,202.5213345,0.0240395,202.554436,4.47385906669878e-05,0.390501685730594
200,accuracy,NaN,NaN,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000368419217519954,5.4876633868715e-08,6.64577580959499e-09,64,49,51.5406265258789,NaN,NaN,NaN,0,0,0,24.729627375,0.180961916666667,24.914455,0.000155159257279628,0.121103926044264
200,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,2.42172450795112e-05,3.45247662230721e-10,9.2094633567861e-11,46,13,43.8169860839844,100,1573.81158458172,5.91516602031656e-10,0,0,0,29.9283022083333,7.16975258333333,37.0980702083333,4.15565191870697e-07,0.266749477672977
200,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,202,1,100,iteration_limit,2.45626965276221e-05,3.45328373759453e-10,1.03363783061143e-10,46,13,43.8169860839844,100,1232.62418310648,5.91516602031656e-10,0,0,0,24.7826182083333,6.42020945833333,31.2028451666667,5.60846291664733e-07,0.299320272863371
200,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,303,1,100,iteration_limit,2.53485761319687e-05,3.33992692726929e-10,9.5537057346513e-11,46,13,43.8169860839844,100,1492.6381233726,5.91516602031656e-10,0,0,0,20.2491546666667,5.996334,26.2455018333333,5.01673267666926e-07,0.286045351970092
200,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,404,1,100,iteration_limit,2.31133058981653e-05,3.54184041673621e-10,1.18052610145079e-10,46,13,43.8169860839844,100,957.977382540405,5.91516602031656e-10,0,0,0,19.894526625,5.885009375,25.779547875,4.60636472568549e-07,0.333308665142693
200,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,505,1,100,iteration_limit,2.46789336330456e-05,3.37652923814547e-10,8.82653056315932e-11,46,13,43.8169860839844,100,1437.65838744604,5.91516602031656e-10,0,0,0,19.4664357083333,5.95427929166667,25.4207245416667,3.75349909909826e-07,0.261408385375251
200,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,2.41789556572979e-05,1.79472502733388e-10,9.20633046664236e-11,53,12,52.5223083496094,100,1573.81203338319,1.03537839243834e-10,0,0,0,16.6518779166667,1.04987608333333,17.701778,1.35579601103856e-06,0.512966071483309
200,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,1,100,iteration_limit,2.45197189582682e-05,1.88226400762014e-10,1.03304268659153e-10,53,12,52.6518707275391,100,1232.62464973791,5.46683503930559e-10,0,0,0,16.5770297916667,1.05260075,17.6296487916667,1.03518795045497e-06,0.54882985724073
200,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,1,100,iteration_limit,2.53091418339432e-05,1.70049807584118e-10,9.55234755332991e-11,52,12,52.3894195556641,100,1492.63802687861,5.86355633523961e-10,0,0,0,16.6635942083333,1.05943629166667,17.7230628333333,1.82436487633999e-06,0.561738215940332
200,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,1,100,iteration_limit,2.30727911226243e-05,1.87291857534336e-10,1.18019491915085e-10,53,12,52.3000259399414,100,957.977047719991,2.09048219327882e-10,0,0,0,16.5635862916667,1.043888625,17.607492,9.70230929762447e-07,0.630136800760004
200,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,1,100,iteration_limit,2.4640757537846e-05,1.72944655675751e-10,8.82216556282111e-11,52,12,52.3300552368164,100,1437.6592605323,1.95459897643945e-10,0,0,0,16.4466095416667,1.04499458333333,17.4916308333333,1.52692070770571e-06,0.510114957201196
250,accuracy,NaN,NaN,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,3.35835248971725e-05,3.85308378331198e-10,1.64034021352596e-10,127,14,319.687339782715,NaN,NaN,NaN,0,0,0,215.731372041667,0.0196477916666667,215.759241625,3.81063244600568e-05,0.425721397658262
250,accuracy,NaN,NaN,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.00044254701462563,6.30547719327245e-08,6.7145059794038e-09,66,51,60.8095779418945,NaN,NaN,NaN,0,0,0,27.48511525,0.200912916666667,27.68768125,5.97046505415762e-05,0.106486880748181
250,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,3.45734583576431e-05,3.95821774454097e-10,9.9396458978546e-11,50,14,51.5673828125,100,1473.74759800073,1.03709540764024e-10,0,0,0,23.052913625,10.915837625,33.9687620833333,3.18920463043382e-07,0.251114176615548
250,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,202,1,100,iteration_limit,3.32504812021977e-05,4.16039214969881e-10,1.30941677102626e-10,50,14,51.5673828125,100,1237.64065111086,1.03709540764024e-10,0,0,0,22.5313685416667,10.8975819583333,33.4289624166667,3.56477311992801e-07,0.314733977930675
250,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,303,1,100,iteration_limit,3.31668395870951e-05,4.05606588502669e-10,1.22673112107617e-10,50,14,51.5673828125,100,1492.66090109975,1.03709540764024e-10,0,0,0,22.774832375,11.7319475,34.5067908333333,3.17570341067539e-07,0.302443588405393
250,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,404,1,100,iteration_limit,3.32469220988011e-05,4.03472410468336e-10,1.44214840182409e-10,50,14,51.5673828125,100,1219.91989734025,1.03709540764024e-10,0,0,0,22.4687025,11.4318538333333,33.9005710416667,4.33866831193612e-07,0.357434204770059
250,accuracy,NaN,NaN,plain,Plain Tucker sGMRES,505,1,100,iteration_limit,3.2922325452094e-05,4.17300301967274e-10,1.31353219063196e-10,50,14,51.5673828125,100,1356.90647800241,1.03709540764024e-10,0,0,0,22.2928107083333,11.4981319166667,33.7909567083333,4.16778176868072e-07,0.314769048677796
250,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,3.44934662906617e-05,1.97522223719275e-10,9.94083377277755e-11,55,13,63.4232864379883,100,1473.74823301871,9.7700212835108e-11,0,0,0,17.7312729583333,1.116337,18.84762775,9.43973793515415e-07,0.503276724289302
250,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,1,100,iteration_limit,3.31703090519502e-05,2.27274151943985e-10,1.30950507869729e-10,56,13,63.2345809936523,100,1237.64152885612,1.08480358781171e-09,0,0,0,17.8092018333333,1.35287591666667,19.1620946666667,8.82819282707986e-07,0.576178622820263
250,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,1,100,iteration_limit,3.30854985021745e-05,2.0811293561068e-10,1.22707094061161e-10,57,13,63.5466690063477,100,1492.66264284308,9.57985694714725e-10,0,0,0,18.5413770833333,1.16502820833333,19.7064346666667,1.49062986259101e-06,0.589617813525588
250,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,1,100,iteration_limit,3.31619896175834e-05,2.02838324544773e-10,1.44223246017393e-10,56,13,63.3776168823242,100,1219.91944533451,7.34043149757979e-10,0,0,0,18.2675915416667,1.130632875,19.3982646666667,2.07492787057374e-06,0.711025622702569
250,accuracy,NaN,NaN,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,1,100,iteration_limit,3.28395120450882e-05,2.26424403476369e-10,1.31376764893877e-10,56,13,62.9723129272461,100,1356.90563446785,1.86732182688082e-10,0,0,0,18.6376692916667,1.12188954166667,19.7595920833333,1.68272704512782e-06,0.580223522185796
