N,block_index,order_position,method_id,phase,time_sec,percent_of_solver_time
150,4,3,relaxed,tucker_sums_and_rounding,15.8705584166666,77.0152275026563
150,4,3,relaxed,small_least_squares,0.009754375,0.0473351592331059
150,4,3,relaxed,basis_normalisation,0.002061375,0.0100032563710277
150,4,3,relaxed,solution_assembly,1.07090408333333,5.19678762688195
150,4,3,relaxed,unclassified_solver_overhead,0.21365587500005,1.03681013537166
150,4,4,plain,initial_residual,0.000496458333333333,0.00387731700402009
150,4,4,plain,operator_and_preconditioner,0.223720083333333,1.74724367586899
150,4,4,plain,residual_sketch,1.99963729166667,15.6170763028489
150,4,4,plain,orthogonalisation_inner_products,0.168565041666667,1.31648530894675
150,4,4,plain,tucker_sums_and_rounding,9.77342091666666,76.3299728563403
150,4,4,plain,small_least_squares,0.0278217916666667,0.217286927559824
150,4,4,plain,basis_normalisation,0.00205858333333333,0.0160774422073535
150,4,4,plain,solution_assembly,0.331817541666667,2.59147990909538
150,4,4,plain,unclassified_solver_overhead,0.276634166666669,2.16050026012845
200,1,1,fixed,initial_residual,0.000161083333333333,8.40356099884377e-05
200,1,1,fixed,operator_and_preconditioner,20.915397875,10.9113598670036
200,1,1,fixed,residual_sketch,0,0
200,1,1,fixed,orthogonalisation_inner_products,1.37953208333334,0.719688484975917
200,1,1,fixed,tucker_sums_and_rounding,167.500423,87.3833433220468
200,1,1,fixed,small_least_squares,0.0104541666666667,0.00545383718212597
200,1,1,fixed,basis_normalisation,0.00496675,0.00259110522034189
200,1,1,fixed,solution_assembly,1.527447125,0.796854325138916
200,1,1,fixed,unclassified_solver_overhead,0.34623037499972,0.18062502282231
200,1,2,relaxed,initial_residual,0.000149083333333333,0.000593540491859873
200,1,2,relaxed,operator_and_preconditioner,4.05682120833333,16.1512866766801
200,1,2,relaxed,residual_sketch,0,0
200,1,2,relaxed,orthogonalisation_inner_products,0.424785958333333,1.69118613735719
200,1,2,relaxed,tucker_sums_and_rounding,19.1468778333334,76.2288247296428
200,1,2,relaxed,small_least_squares,0.010018125,0.0398848262046754
200,1,2,relaxed,basis_normalisation,0.00243183333333333,0.00968177676548619
200,1,2,relaxed,solution_assembly,1.25566870833333,4.99915185751068
200,1,2,relaxed,unclassified_solver_overhead,0.220882083333308,0.879390455347243
200,1,3,plain,initial_residual,0.000537625,0.00283458383046836
200,1,3,plain,operator_and_preconditioner,0.268159166666667,1.41384726868208
200,1,3,plain,residual_sketch,2.08273104166667,10.9810290331046
200,1,3,plain,orthogonalisation_inner_products,0.194503125,1.02550181464881
200,1,3,plain,tucker_sums_and_rounding,15.7062949166667,82.8101550473858
200,1,3,plain,small_least_squares,0.0294141666666667,0.155083787435545
200,1,3,plain,basis_normalisation,0.00219354166666667,0.0115652689882203
200,1,3,plain,solution_assembly,0.370807416666667,1.95505176935797
200,1,3,plain,unclassified_solver_overhead,0.311988041666666,1.64493142656651
200,1,4,rhosvd_sgmres,initial_residual,0,0
200,1,4,rhosvd_sgmres,operator_and_preconditioner,0.273888458333333,1.64693730801599
200,1,4,rhosvd_sgmres,residual_sketch,0.710386916666667,4.27167586142271
200,1,4,rhosvd_sgmres,orthogonalisation_inner_products,0.0275590416666667,0.165717146937099
200,1,4,rhosvd_sgmres,tucker_sums_and_rounding,11.4885134583333,69.0823612769601
200,1,4,rhosvd_sgmres,small_least_squares,0.0288495,0.173476889667916
200,1,4,rhosvd_sgmres,basis_normalisation,0.00234883333333333,0.0141239293927101
200,1,4,rhosvd_sgmres,solution_assembly,4.00637333333333,24.0909958479401
200,1,4,rhosvd_sgmres,unclassified_solver_overhead,0.0922494999999941,0.554711739663405
200,2,1,relaxed,initial_residual,0.000141333333333333,0.000570476734456895
200,2,1,relaxed,operator_and_preconditioner,3.83501695833333,15.4796317286095
200,2,1,relaxed,residual_sketch,0,0
200,2,1,relaxed,orthogonalisation_inner_products,0.412150750000001,1.66360198559406
200,2,1,relaxed,tucker_sums_and_rounding,19.0310210833333,76.8166610448133
200,2,1,relaxed,small_least_squares,0.00975433333333333,0.0393723129255003
200,2,1,relaxed,basis_normalisation,0.002469,0.00996585182104297
200,2,1,relaxed,solution_assembly,1.26921291666667,5.12304084927248
200,2,1,relaxed,unclassified_solver_overhead,0.214834375000052,0.867155750229606
200,2,2,plain,initial_residual,0.000441166666666667,0.0023342330705398
