N,m,method_code,run_id,restart_length,q,s,zeta,iteration,true_relres
200,40000,1,0,0,0,0,0,150,1.15706532858834e-06
200,40000,1,0,0,0,0,0,175,7.00210383644588e-07
200,40000,1,0,0,0,0,0,200,4.30184859570643e-07
200,40000,1,0,0,0,0,0,225,3.18152790448413e-07
200,40000,1,0,0,0,0,0,250,2.3610775224064e-07
200,40000,3,0,50,0,0,0,0,1
200,40000,3,0,50,0,0,0,5,0.0159467968628991
200,40000,3,0,50,0,0,0,10,0.00301683521439754
200,40000,3,0,50,0,0,0,20,0.000470652284153238
200,40000,3,0,50,0,0,0,30,0.000151063000777927
200,40000,3,0,50,0,0,0,50,3.54531992446467e-05
200,40000,3,0,50,0,0,0,75,1.21104535389206e-05
200,40000,3,0,50,0,0,0,100,5.16411932692168e-06
200,40000,3,0,50,0,0,0,125,2.90769011209658e-06
200,40000,3,0,50,0,0,0,150,1.39472195711497e-06
200,40000,3,0,50,0,0,0,175,9.1600636979201e-07
200,40000,3,0,50,0,0,0,200,5.99163216598306e-07
200,40000,3,0,50,0,0,0,225,4.45229658094516e-07
200,40000,3,0,50,0,0,0,250,3.40842199694962e-07
200,40000,2,1,0,2,502,12,0,1
200,40000,2,1,0,2,502,12,5,0.0160245006897986
200,40000,2,1,0,2,502,12,10,0.00305644782481411
200,40000,2,1,0,2,502,12,20,0.000482140004928897
200,40000,2,1,0,2,502,12,30,0.000154079231748071
200,40000,2,1,0,2,502,12,50,3.70889695237883e-05
200,40000,2,1,0,2,502,12,75,1.20294182330743e-05
200,40000,2,1,0,2,502,12,100,5.59114697642064e-06
200,40000,2,1,0,2,502,12,125,2.43258394910925e-06
200,40000,2,1,0,2,502,12,150,1.35982250951141e-06
200,40000,2,1,0,2,502,12,175,8.46394467218121e-07
200,40000,2,1,0,2,502,12,200,5.46830714794438e-07
200,40000,2,1,0,2,502,12,225,4.50193497243607e-07
200,40000,2,1,0,2,502,12,250,3.40018272265844e-07
200,40000,2,2,0,2,502,12,0,1
200,40000,2,2,0,2,502,12,5,0.0160540485406615
200,40000,2,2,0,2,502,12,10,0.00304467528109458
200,40000,2,2,0,2,502,12,20,0.000481981995599086
200,40000,2,2,0,2,502,12,30,0.000154793148803631
200,40000,2,2,0,2,502,12,50,3.7067175587603e-05
200,40000,2,2,0,2,502,12,75,1.22115881313212e-05
200,40000,2,2,0,2,502,12,100,5.60880234632462e-06
200,40000,2,2,0,2,502,12,125,2.42339682644128e-06
200,40000,2,2,0,2,502,12,150,1.37430306894281e-06
200,40000,2,2,0,2,502,12,175,8.51247188886207e-07
200,40000,2,2,0,2,502,12,200,5.58036763082448e-07
200,40000,2,2,0,2,502,12,225,4.37012667922066e-07
200,40000,2,2,0,2,502,12,250,3.41914190867804e-07
200,40000,2,3,0,2,502,12,0,1
200,40000,2,3,0,2,502,12,5,0.0160089086523982
200,40000,2,3,0,2,502,12,10,0.00306663999479957
200,40000,2,3,0,2,502,12,20,0.00048239579049069
200,40000,2,3,0,2,502,12,30,0.000155513622476129
200,40000,2,3,0,2,502,12,50,3.73521215147915e-05
200,40000,2,3,0,2,502,12,75,1.22491001751716e-05
200,40000,2,3,0,2,502,12,100,5.68973603121667e-06
200,40000,2,3,0,2,502,12,125,2.49276184727516e-06
200,40000,2,3,0,2,502,12,150,1.39433250332897e-06
200,40000,2,3,0,2,502,12,175,8.89705174790646e-07
200,40000,2,3,0,2,502,12,200,5.47186487911872e-07
200,40000,2,3,0,2,502,12,225,4.29465905066862e-07
200,40000,2,3,0,2,502,12,250,3.33688093354779e-07
200,40000,2,4,0,2,502,12,0,1
200,40000,2,4,0,2,502,12,5,0.0160374319105607
200,40000,2,4,0,2,502,12,10,0.00305362705835498
200,40000,2,4,0,2,502,12,20,0.000481478498326065
200,40000,2,4,0,2,502,12,30,0.000155607256493195
200,40000,2,4,0,2,502,12,50,3.71237598904399e-05
200,40000,2,4,0,2,502,12,75,1.21037405426732e-05
200,40000,2,4,0,2,502,12,100,5.55656172296808e-06
200,40000,2,4,0,2,502,12,125,2.36251281097304e-06
200,40000,2,4,0,2,502,12,150,1.4340274959571e-06
200,40000,2,4,0,2,502,12,175,8.7342527220911e-07
200,40000,2,4,0,2,502,12,200,5.68754402079437e-07
200,40000,2,4,0,2,502,12,225,4.2787416795092e-07
200,40000,2,4,0,2,502,12,250,3.56187850493999e-07
200,40000,2,5,0,2,502,12,0,1
200,40000,2,5,0,2,502,12,5,0.016004614762716
200,40000,2,5,0,2,502,12,10,0.00305436430085967
200,40000,2,5,0,2,502,12,20,0.000479973376103309
200,40000,2,5,0,2,502,12,30,0.000156542136625909
200,40000,2,5,0,2,502,12,50,3.69923869408633e-05
200,40000,2,5,0,2,502,12,75,1.21381461678137e-05
200,40000,2,5,0,2,502,12,100,5.67875319225368e-06
200,40000,2,5,0,2,502,12,125,2.42816483471114e-06
200,40000,2,5,0,2,502,12,150,1.41208654047491e-06
200,40000,2,5,0,2,502,12,175,8.93315346927737e-07
200,40000,2,5,0,2,502,12,200,5.49581306006896e-07
200,40000,2,5,0,2,502,12,225,4.42023885631151e-07
200,40000,2,5,0,2,502,12,250,3.35203272154921e-07
400,160000,1,0,0,0,0,0,0,1
400,160000,1,0,0,0,0,0,5,0.0162359249143307
400,160000,1,0,0,0,0,0,10,0.00308285672693756
400,160000,1,0,0,0,0,0,20,0.000475557828395889
400,160000,1,0,0,0,0,0,30,0.00015516681902656
400,160000,1,0,0,0,0,0,50,3.58449580445155e-05
400,160000,1,0,0,0,0,0,75,1.08610915710879e-05
400,160000,1,0,0,0,0,0,100,4.24448446681433e-06
400,160000,1,0,0,0,0,0,125,2.08702012989345e-06
400,160000,1,0,0,0,0,0,150,1.19757706465525e-06
400,160000,1,0,0,0,0,0,175,7.3420469466656e-07
400,160000,1,0,0,0,0,0,200,5.09861787127297e-07
400,160000,1,0,0,0,0,0,225,3.91803145299262e-07
400,160000,1,0,0,0,0,0,250,3.08867881833927e-07
400,160000,3,0,50,0,0,0,0,1
400,160000,3,0,50,0,0,0,5,0.0162359249143307
400,160000,3,0,50,0,0,0,10,0.00308285672693756
400,160000,3,0,50,0,0,0,20,0.000475557828395889
400,160000,3,0,50,0,0,0,30,0.00015516681902656
400,160000,3,0,50,0,0,0,50,3.58449580445155e-05
400,160000,3,0,50,0,0,0,75,1.18932406856725e-05
400,160000,3,0,50,0,0,0,100,4.38946309394087e-06
400,160000,3,0,50,0,0,0,125,2.50967136279566e-06
400,160000,3,0,50,0,0,0,150,1.34887555522539e-06
400,160000,3,0,50,0,0,0,175,9.50760836728873e-07
400,160000,3,0,50,0,0,0,200,6.43062247202381e-07
400,160000,3,0,50,0,0,0,225,5.04086037483466e-07
400,160000,3,0,50,0,0,0,250,4.09669562084855e-07
400,160000,2,1,0,2,502,12,0,1
400,160000,2,1,0,2,502,12,5,0.0162971880278068
400,160000,2,1,0,2,502,12,10,0.00313981825230415
400,160000,2,1,0,2,502,12,20,0.00048867971485981
400,160000,2,1,0,2,502,12,30,0.000159360347530768
400,160000,2,1,0,2,502,12,50,3.73516983964904e-05
400,160000,2,1,0,2,502,12,75,1.17362738212826e-05
400,160000,2,1,0,2,502,12,100,4.74502785938981e-06
400,160000,2,1,0,2,502,12,125,2.45286878055561e-06
400,160000,2,1,0,2,502,12,150,1.4356047227443e-06
