N,method_id,method_name,residual_seed,arnoldi_iteration,true_relative_residual
250,relaxed,Relaxed Tucker GMRES,NaN,0,1
250,relaxed,Relaxed Tucker GMRES,NaN,20,0.00067944487780114
250,relaxed,Relaxed Tucker GMRES,NaN,40,0.000201163786401492
250,relaxed,Relaxed Tucker GMRES,NaN,60,0.000415168458602607
250,relaxed,Relaxed Tucker GMRES,NaN,80,0.00044053729486815
250,relaxed,Relaxed Tucker GMRES,NaN,100,0.00044254701462563
250,plain,Plain Tucker sGMRES,101,0,1
250,plain,Plain Tucker sGMRES,101,20,0.000678718755252815
250,plain,Plain Tucker sGMRES,101,40,0.000156172595338972
250,plain,Plain Tucker sGMRES,101,60,8.05958162238369e-05
250,plain,Plain Tucker sGMRES,101,80,4.93754838055974e-05
250,plain,Plain Tucker sGMRES,101,100,3.45734583576431e-05
250,plain,Plain Tucker sGMRES,202,0,1
250,plain,Plain Tucker sGMRES,202,20,0.000679036625408658
250,plain,Plain Tucker sGMRES,202,40,0.000158115436218584
250,plain,Plain Tucker sGMRES,202,60,7.82290941675527e-05
250,plain,Plain Tucker sGMRES,202,80,4.96613351061789e-05
250,plain,Plain Tucker sGMRES,202,100,3.32504812021977e-05
250,plain,Plain Tucker sGMRES,303,0,1
250,plain,Plain Tucker sGMRES,303,20,0.000678282817002273
250,plain,Plain Tucker sGMRES,303,40,0.000156108527651938
250,plain,Plain Tucker sGMRES,303,60,7.95493444988305e-05
250,plain,Plain Tucker sGMRES,303,80,5.06789784637485e-05
250,plain,Plain Tucker sGMRES,303,100,3.31668395870951e-05
250,plain,Plain Tucker sGMRES,404,0,1
250,plain,Plain Tucker sGMRES,404,20,0.000676252943704368
250,plain,Plain Tucker sGMRES,404,40,0.000152040411958078
250,plain,Plain Tucker sGMRES,404,60,8.26076859198728e-05
250,plain,Plain Tucker sGMRES,404,80,4.99293189996021e-05
250,plain,Plain Tucker sGMRES,404,100,3.32469220988011e-05
250,plain,Plain Tucker sGMRES,505,0,1
250,plain,Plain Tucker sGMRES,505,20,0.000680787166566627
250,plain,Plain Tucker sGMRES,505,40,0.000159602645723397
250,plain,Plain Tucker sGMRES,505,60,8.35921390890987e-05
250,plain,Plain Tucker sGMRES,505,80,5.04460784957292e-05
250,plain,Plain Tucker sGMRES,505,100,3.2922325452094e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,0,1
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,20,0.00067870700598233
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,40,0.000156080704604938
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,60,8.05454701146153e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,80,4.93157571600398e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,100,3.44934662906617e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,0,1
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,20,0.000679021519513193
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,40,0.000158024739671162
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,60,7.81863748051647e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,80,4.95973866740982e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,100,3.31703090519502e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,0,1
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,20,0.000678270477965106
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,40,0.000156017314655792
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,60,7.95021108699122e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,80,5.06189299420321e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,100,3.30854985021745e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,0,1
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,20,0.000676240482482056
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,40,0.000151948566029275
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,60,8.25503976866212e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,80,4.98665933207451e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,100,3.31619896175834e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,0,1
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,20,0.000680774793787324
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,40,0.000159511408461469
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,60,8.35335757224552e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,80,5.03806564508488e-05
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,100,3.28395120450882e-05
