N,layer,timing_block,order_position,method_id,method_name,residual_seed,randomized,completed_iterations,stop_reason,true_relative_residual,independent_preconditioned_relative_residual,computed_internal_relative_residual,maximum_basis_rank,maximum_solution_rank,peak_basis_storage_mib,sketch_matrix_rank,sketch_matrix_condition,basis_orthogonality_error_fro,rank_cap_active,breakdown,memory_limit_active,solver_time_sec,diagnostic_time_sec,wall_time_sec,timing_closure_relative_error,internal_to_independent_residual_ratio,endpoint_relative_drift
200,timing,1,2,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000368419217519954,5.4876633868715e-08,6.64577580959499e-09,64,49,51.5406265258789,NaN,NaN,NaN,0,0,0,25.1176348333333,0.168438041666667,25.287574125,5.93671023000372e-05,0.121103926044264,0
200,timing,1,3,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,2.42172450795112e-05,3.45247662230721e-10,9.2094633567861e-11,46,13,43.8169860839844,100,1573.81158458172,5.91516602031656e-10,0,0,0,18.9666290416667,6.07628241666667,25.0429231666667,4.67530617574032e-07,0.266749477672977,0
200,timing,1,4,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,2.41789556572979e-05,1.79472502733388e-10,9.20633046664236e-11,53,12,52.5223083496094,100,1573.81203338319,1.03537839243834e-10,0,0,0,16.6301690416667,1.04515304166667,17.6753394583333,9.83007994974473e-07,0.512966071483309,0
200,timing,2,1,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000368419217519954,5.4876633868715e-08,6.64577580959499e-09,64,49,51.5406265258789,NaN,NaN,NaN,0,0,0,24.77460075,0.170512416666667,24.9463673333333,5.0274520931449e-05,0.121103926044264,0
200,timing,2,2,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,2.42172450795112e-05,3.45247662230721e-10,9.2094633567861e-11,46,13,43.8169860839844,100,1573.81158458172,5.91516602031656e-10,0,0,0,18.8998550416667,5.96797608333333,24.867843,4.77524327381065e-07,0.266749477672977,0
200,timing,2,3,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,2.41789556572979e-05,1.79472502733388e-10,9.20633046664236e-11,53,12,52.5223083496094,100,1573.81203338319,1.03537839243834e-10,0,0,0,16.6349267916667,1.05386516666667,17.6888241666667,1.8208295264872e-06,0.512966071483309,0
200,timing,2,4,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,2.4315885046627e-05,3.2585409525358e-10,1.27246573498741e-10,118,13,270.708763122559,NaN,NaN,NaN,0,0,0,199.743515166667,0.0110037083333333,199.756411958333,9.47695903610846e-06,0.390501685730594,0
200,timing,3,1,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,2.42172450795112e-05,3.45247662230721e-10,9.2094633567861e-11,46,13,43.8169860839844,100,1573.81158458172,5.91516602031656e-10,0,0,0,19.6973600416667,5.98623283333333,25.6836275416667,1.34975741299906e-06,0.266749477672977,0
200,timing,3,2,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,2.41789556572979e-05,1.79472502733388e-10,9.20633046664236e-11,53,12,52.5223083496094,100,1573.81203338319,1.03537839243834e-10,0,0,0,16.9706995,1.02668208333333,17.9974087916667,1.51179170575697e-06,0.512966071483309,0
200,timing,3,3,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,2.4315885046627e-05,3.2585409525358e-10,1.27246573498741e-10,118,13,270.708763122559,NaN,NaN,NaN,0,0,0,199.04723125,0.01061,199.05961325,8.90185593673615e-06,0.390501685730594,0
200,timing,3,4,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000368419217519954,5.4876633868715e-08,6.64577580959499e-09,64,49,51.5406265258789,NaN,NaN,NaN,0,0,0,24.738747875,0.170704708333333,24.9105096666667,4.24352350667875e-05,0.121103926044264,0
200,timing,4,1,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,2.41789556572979e-05,1.79472502733388e-10,9.20633046664236e-11,53,12,52.5223083496094,100,1573.81203338319,1.03537839243834e-10,0,0,0,16.7650795833333,1.05346216666667,17.8185581666667,9.21324077606672e-07,0.512966071483309,0
200,timing,4,2,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,2.4315885046627e-05,3.2585409525358e-10,1.27246573498741e-10,118,13,270.708763122559,NaN,NaN,NaN,0,0,0,196.351764416667,0.00994175,196.363328916667,8.26401756828722e-06,0.390501685730594,0
200,timing,4,3,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000368419217519954,5.4876633868715e-08,6.64577580959499e-09,64,49,51.5406265258789,NaN,NaN,NaN,0,0,0,24.709781875,0.17074175,24.88160875,4.36115289370392e-05,0.121103926044264,0
200,timing,4,4,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,2.42172450795112e-05,3.45247662230721e-10,9.2094633567861e-11,46,13,43.8169860839844,100,1573.81158458172,5.91516602031656e-10,0,0,0,21.2540927083333,6.13425966666667,27.3883689583333,6.05488167533792e-07,0.266749477672977,0
250,timing,1,1,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,3.35835248971725e-05,3.85308378331198e-10,1.64034021352596e-10,127,14,319.687339782715,NaN,NaN,NaN,0,0,0,223.481637375,0.01202475,223.495700291667,9.11948938627678e-06,0.425721397658262,0
250,timing,1,2,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.00044254701462563,6.30547719327245e-08,6.7145059794038e-09,66,51,60.8095779418945,NaN,NaN,NaN,0,0,0,27.3285756666667,0.215180291666667,27.5451897083333,5.20508304787683e-05,0.106486880748181,0
250,timing,1,3,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,3.45734583576431e-05,3.95821774454097e-10,9.9396458978546e-11,50,14,51.5673828125,100,1473.74759800073,1.03709540764024e-10,0,0,0,24.82892325,12.525904875,37.354842875,3.94861786809645e-07,0.251114176615548,0
250,timing,1,4,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,3.44934662906617e-05,1.97522223719275e-10,9.94083377277755e-11,55,13,63.4232864379883,100,1473.74823301871,9.7700212835108e-11,0,0,0,19.1557677916667,1.14362445833333,20.2994493333333,2.81206314494153e-06,0.503276724289302,0
250,timing,2,1,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.00044254701462563,6.30547719327245e-08,6.7145059794038e-09,66,51,60.8095779418945,NaN,NaN,NaN,0,0,0,27.7549240416667,0.228577458333333,27.9854770416667,7.05916738074302e-05,0.106486880748181,0
250,timing,2,2,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,3.45734583576431e-05,3.95821774454097e-10,9.9396458978546e-11,50,14,51.5673828125,100,1473.74759800073,1.03709540764024e-10,0,0,0,24.7273844583333,11.5622367916667,36.289645375,6.64790183265503e-07,0.251114176615548,0
250,timing,2,3,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,3.44934662906617e-05,1.97522223719275e-10,9.94083377277755e-11,55,13,63.4232864379883,100,1473.74823301871,9.7700212835108e-11,0,0,0,19.3366912083333,1.24283225,20.5795765,2.57739349821345e-06,0.503276724289302,0
250,timing,2,4,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,3.35835248971725e-05,3.85308378331198e-10,1.64034021352596e-10,127,14,319.687339782715,NaN,NaN,NaN,0,0,0,224.366424166667,0.0147985,224.383713041667,1.10987333539547e-05,0.425721397658262,0
250,timing,3,1,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,3.45734583576431e-05,3.95821774454097e-10,9.9396458978546e-11,50,14,51.5673828125,100,1473.74759800073,1.03709540764024e-10,0,0,0,27.524812375,12.440810875,39.96564,4.19110015511897e-07,0.251114176615548,0
