phase,measured,N,number_of_unknowns,preconditioner_tucker_rank,preconditioner_spectral_delta,preconditioner_condition_number,preconditioner_setup_time_sec,method_index,method_id,method_name,repeat_index,order_position,iterations,passed,stop_reason,final_original_true_relative_residual,final_computed_preconditioned_relative_residual,final_independent_preconditioned_relative_residual,preconditioned_residual_gap,solver_time_sec,diagnostic_time_sec,wall_time_sec,outer_call_time_sec,basis_storage_mib,maximum_basis_rank,solution_mode_1_rank,solution_mode_2_rank,solution_mode_3_rank,rank_cap_active,maximum_operator_error_to_tolerance_ratio,maximum_orthogonalisation_error_to_tolerance_ratio,preallocated_full_basis_gib,conservative_full_array_estimate_gib
warmup,0,200,8000000,8,0.0586364180688692,1.11667759656164,0.2121815,2,fixed,Fixed Tucker-GMRES,2,1,4,1,iteration_limit,1.82175891810779e-07,1.11158848696085e-13,6.33516092070347e-11,6.32404503583387e-11,2.35182120833333,0.551484208333333,2.91388325,2.92137341666667,4.67648315429688,73,12,12,12,0,0.919101556196225,0.892901799314696,0.298023223876953,1.07288360595703
measured,1,200,8000000,8,0.0586364180688692,1.11667759656164,0.2121815,2,fixed,Fixed Tucker-GMRES,2,1,4,1,iteration_limit,1.82175891810779e-07,1.11158848696085e-13,6.33516092070347e-11,6.32404503583387e-11,1.65419554166667,0.323663583333333,1.98027191666667,1.98178995833333,4.67648315429688,73,12,12,12,0,0.919101556196225,0.892901799314696,0.298023223876953,1.07288360595703
warmup,0,200,8000000,8,0.0586364180688692,1.11667759656164,0.1913215,3,relaxed,Relaxed Tucker-GMRES,2,2,4,0,computed_preconditioned_target,4.19544279587839e-07,1.92355545132714e-16,1.59616983789381e-10,1.59616791433836e-10,0.450716916666667,0.403389791666667,0.859604583333333,0.868903458333333,0.603973388671875,22,12,12,12,0,0.958778620821649,0.914230665611411,0.298023223876953,1.07288360595703
measured,1,200,8000000,8,0.0586364180688692,1.11667759656164,0.1913215,3,relaxed,Relaxed Tucker-GMRES,2,2,4,0,computed_preconditioned_target,4.19544279587839e-07,1.92355545132714e-16,1.59616983789381e-10,1.59616791433836e-10,0.323001708333333,0.445585208333333,0.76994725,0.771214,0.603973388671875,22,12,12,12,0,0.958778620821649,0.914230665611411,0.298023223876953,1.07288360595703
warmup,0,200,8000000,8,0.0586364180688692,1.11667759656164,0.256454416666667,1,full,Preconditioned full GMRES,2,3,4,1,cycle_length,3.31286440828815e-10,1.51418316030585e-13,1.51413131451785e-13,5.18457880047446e-18,2.78526204166667,0.458123333333333,3.2435135,3.24741329166667,305.17578125,NaN,NaN,NaN,NaN,0,NaN,NaN,0.298023223876953,1.07288360595703
measured,1,200,8000000,8,0.0586364180688692,1.11667759656164,0.256454416666667,1,full,Preconditioned full GMRES,2,3,4,1,cycle_length,3.31286440828815e-10,1.51418316030585e-13,1.51413131451785e-13,5.18457880047446e-18,2.5983815,0.420840083333333,3.01923220833333,3.022150125,305.17578125,NaN,NaN,NaN,NaN,0,NaN,NaN,0.298023223876953,1.07288360595703
warmup,0,200,8000000,8,0.0586364180688692,1.11667759656164,0.170344083333333,3,relaxed,Relaxed Tucker-GMRES,3,1,4,0,computed_preconditioned_target,4.19544279587839e-07,1.92355545132714e-16,1.59616983789381e-10,1.59616791433836e-10,0.438101458333333,0.334937208333333,0.775969458333333,0.78490825,0.603973388671875,22,12,12,12,0,0.958778620821649,0.914230665611411,0.298023223876953,1.07288360595703
measured,1,200,8000000,8,0.0586364180688692,1.11667759656164,0.170344083333333,3,relaxed,Relaxed Tucker-GMRES,3,1,4,0,computed_preconditioned_target,4.19544279587839e-07,1.92355545132714e-16,1.59616983789381e-10,1.59616791433836e-10,0.29539175,0.275373833333333,0.57211825,0.573444,0.603973388671875,22,12,12,12,0,0.958778620821649,0.914230665611411,0.298023223876953,1.07288360595703
warmup,0,200,8000000,8,0.0586364180688692,1.11667759656164,0.163508208333333,1,full,Preconditioned full GMRES,3,2,4,1,cycle_length,3.31286440828815e-10,1.51418316030585e-13,1.51413131451785e-13,5.18457880047446e-18,2.52459195833333,0.379981916666667,2.90460308333333,2.908522,305.17578125,NaN,NaN,NaN,NaN,0,NaN,NaN,0.298023223876953,1.07288360595703
measured,1,200,8000000,8,0.0586364180688692,1.11667759656164,0.163508208333333,1,full,Preconditioned full GMRES,3,2,4,1,cycle_length,3.31286440828815e-10,1.51418316030585e-13,1.51413131451785e-13,5.18457880047446e-18,2.61950083333333,0.397491625,3.01700179166667,3.01932833333333,305.17578125,NaN,NaN,NaN,NaN,0,NaN,NaN,0.298023223876953,1.07288360595703
