N,m,method_code,restart_length,q,s,zeta,iteration,median_true_relres,min_true_relres,max_true_relres
200,40000,2,0,2,502,12,50,3.70889695237883e-05,3.69923869408633e-05,3.73521215147915e-05
200,40000,2,0,2,502,12,75,1.21381461678137e-05,1.20294182330743e-05,1.22491001751716e-05
200,40000,2,0,2,502,12,100,5.60880234632462e-06,5.55656172296808e-06,5.68973603121667e-06
200,40000,2,0,2,502,12,125,2.42816483471114e-06,2.36251281097304e-06,2.49276184727516e-06
200,40000,2,0,2,502,12,150,1.39433250332897e-06,1.35982250951141e-06,1.4340274959571e-06
200,40000,2,0,2,502,12,175,8.7342527220911e-07,8.46394467218121e-07,8.93315346927737e-07
200,40000,2,0,2,502,12,200,5.49581306006896e-07,5.46830714794438e-07,5.68754402079437e-07
200,40000,2,0,2,502,12,225,4.37012667922066e-07,4.2787416795092e-07,4.50193497243607e-07
200,40000,2,0,2,502,12,250,3.40018272265844e-07,3.33688093354779e-07,3.56187850493999e-07
400,160000,1,0,0,0,0,0,1,1,1
400,160000,1,0,0,0,0,5,0.0162359249143307,0.0162359249143307,0.0162359249143307
400,160000,1,0,0,0,0,10,0.00308285672693756,0.00308285672693756,0.00308285672693756
400,160000,1,0,0,0,0,20,0.000475557828395889,0.000475557828395889,0.000475557828395889
400,160000,1,0,0,0,0,30,0.00015516681902656,0.00015516681902656,0.00015516681902656
400,160000,1,0,0,0,0,50,3.58449580445155e-05,3.58449580445155e-05,3.58449580445155e-05
400,160000,1,0,0,0,0,75,1.08610915710879e-05,1.08610915710879e-05,1.08610915710879e-05
400,160000,1,0,0,0,0,100,4.24448446681433e-06,4.24448446681433e-06,4.24448446681433e-06
400,160000,1,0,0,0,0,125,2.08702012989345e-06,2.08702012989345e-06,2.08702012989345e-06
400,160000,1,0,0,0,0,150,1.19757706465525e-06,1.19757706465525e-06,1.19757706465525e-06
400,160000,1,0,0,0,0,175,7.3420469466656e-07,7.3420469466656e-07,7.3420469466656e-07
400,160000,1,0,0,0,0,200,5.09861787127297e-07,5.09861787127297e-07,5.09861787127297e-07
400,160000,1,0,0,0,0,225,3.91803145299262e-07,3.91803145299262e-07,3.91803145299262e-07
400,160000,1,0,0,0,0,250,3.08867881833927e-07,3.08867881833927e-07,3.08867881833927e-07
400,160000,3,50,0,0,0,0,1,1,1
400,160000,3,50,0,0,0,5,0.0162359249143307,0.0162359249143307,0.0162359249143307
400,160000,3,50,0,0,0,10,0.00308285672693756,0.00308285672693756,0.00308285672693756
400,160000,3,50,0,0,0,20,0.000475557828395889,0.000475557828395889,0.000475557828395889
400,160000,3,50,0,0,0,30,0.00015516681902656,0.00015516681902656,0.00015516681902656
400,160000,3,50,0,0,0,50,3.58449580445155e-05,3.58449580445155e-05,3.58449580445155e-05
400,160000,3,50,0,0,0,75,1.18932406856725e-05,1.18932406856725e-05,1.18932406856725e-05
400,160000,3,50,0,0,0,100,4.38946309394087e-06,4.38946309394087e-06,4.38946309394087e-06
400,160000,3,50,0,0,0,125,2.50967136279566e-06,2.50967136279566e-06,2.50967136279566e-06
400,160000,3,50,0,0,0,150,1.34887555522539e-06,1.34887555522539e-06,1.34887555522539e-06
400,160000,3,50,0,0,0,175,9.50760836728873e-07,9.50760836728873e-07,9.50760836728873e-07
400,160000,3,50,0,0,0,200,6.43062247202381e-07,6.43062247202381e-07,6.43062247202381e-07
400,160000,3,50,0,0,0,225,5.04086037483466e-07,5.04086037483466e-07,5.04086037483466e-07
400,160000,3,50,0,0,0,250,4.09669562084855e-07,4.09669562084855e-07,4.09669562084855e-07
400,160000,2,0,2,502,12,0,1,1,1
400,160000,2,0,2,502,12,5,0.0162917369804461,0.016263398384116,0.0163729683867076
400,160000,2,0,2,502,12,10,0.00310765701795408,0.00310165024307362,0.00313981825230415
400,160000,2,0,2,502,12,20,0.000486408087193678,0.000483944850849556,0.000488994991442184
400,160000,2,0,2,502,12,30,0.00016142936955268,0.000159360347530768,0.000162457364549968
400,160000,2,0,2,502,12,50,3.80360250982682e-05,3.73516983964904e-05,3.81774809678028e-05
400,160000,2,0,2,502,12,75,1.17344544763446e-05,1.15110076302333e-05,1.19145713871627e-05
400,160000,2,0,2,502,12,100,4.686594661624e-06,4.6615617306371e-06,4.74962733160231e-06
400,160000,2,0,2,502,12,125,2.40786576617886e-06,2.34230757798196e-06,2.45286878055561e-06
400,160000,2,0,2,502,12,150,1.4356047227443e-06,1.41478050718131e-06,1.47365852415482e-06
400,160000,2,0,2,502,12,175,9.07449897656715e-07,9.02985532625942e-07,9.19742261130277e-07
400,160000,2,0,2,502,12,200,6.62011229316896e-07,6.42695644466121e-07,6.8287666357508e-07
400,160000,2,0,2,502,12,225,5.37212489854689e-07,5.23224198142798e-07,5.57976199696154e-07
400,160000,2,0,2,502,12,250,4.49887182763015e-07,4.3325934585409e-07,4.65927839084294e-07
800,640000,1,0,0,0,0,0,1,1,1
800,640000,1,0,0,0,0,5,0.016180986403643,0.016180986403643,0.016180986403643
800,640000,1,0,0,0,0,10,0.00304376521967526,0.00304376521967526,0.00304376521967526
800,640000,1,0,0,0,0,20,0.000475267349304556,0.000475267349304556,0.000475267349304556
800,640000,1,0,0,0,0,30,0.000154231479718755,0.000154231479718755,0.000154231479718755
800,640000,1,0,0,0,0,50,3.52755821678683e-05,3.52755821678683e-05,3.52755821678683e-05
800,640000,1,0,0,0,0,75,1.08198866307688e-05,1.08198866307688e-05,1.08198866307688e-05
800,640000,1,0,0,0,0,100,4.54597422757019e-06,4.54597422757019e-06,4.54597422757019e-06
800,640000,1,0,0,0,0,125,2.37925385941503e-06,2.37925385941503e-06,2.37925385941503e-06
800,640000,1,0,0,0,0,150,1.4307976653107e-06,1.4307976653107e-06,1.4307976653107e-06
800,640000,1,0,0,0,0,175,9.43489326784388e-07,9.43489326784388e-07,9.43489326784388e-07
800,640000,1,0,0,0,0,200,6.36832338547079e-07,6.36832338547079e-07,6.36832338547079e-07
800,640000,1,0,0,0,0,225,4.45154915197778e-07,4.45154915197778e-07,4.45154915197778e-07
800,640000,1,0,0,0,0,250,3.23239388041243e-07,3.23239388041243e-07,3.23239388041243e-07
800,640000,3,50,0,0,0,0,1,1,1
800,640000,3,50,0,0,0,5,0.016180986403643,0.016180986403643,0.016180986403643
800,640000,3,50,0,0,0,10,0.00304376521967526,0.00304376521967526,0.00304376521967526
800,640000,3,50,0,0,0,20,0.000475267349304556,0.000475267349304556,0.000475267349304556
800,640000,3,50,0,0,0,30,0.000154231479718755,0.000154231479718755,0.000154231479718755
800,640000,3,50,0,0,0,50,3.52755821678683e-05,3.52755821678683e-05,3.52755821678683e-05
800,640000,3,50,0,0,0,75,1.17757798234726e-05,1.17757798234726e-05,1.17757798234726e-05
800,640000,3,50,0,0,0,100,4.69196720753556e-06,4.69196720753556e-06,4.69196720753556e-06
800,640000,3,50,0,0,0,125,2.8382049593002e-06,2.8382049593002e-06,2.8382049593002e-06
800,640000,3,50,0,0,0,150,1.58752041278548e-06,1.58752041278548e-06,1.58752041278548e-06
800,640000,3,50,0,0,0,175,1.17230451685145e-06,1.17230451685145e-06,1.17230451685145e-06
800,640000,3,50,0,0,0,200,8.13050131373215e-07,8.13050131373215e-07,8.13050131373215e-07
800,640000,3,50,0,0,0,225,6.31146999739777e-07,6.31146999739777e-07,6.31146999739777e-07
800,640000,3,50,0,0,0,250,4.97463905879519e-07,4.97463905879519e-07,4.97463905879519e-07
800,640000,2,0,2,502,12,0,1,1,1
800,640000,2,0,2,502,12,5,0.0162257550701068,0.016224665246729,0.0162542262240362
800,640000,2,0,2,502,12,10,0.00308177657179887,0.00307327703553067,0.00309278692688511
800,640000,2,0,2,502,12,20,0.000482041995889539,0.000479601378570589,0.000485776862027097
800,640000,2,0,2,502,12,30,0.000158853652971213,0.000156462219854419,0.000159910253612048
800,640000,2,0,2,502,12,50,3.69804378317078e-05,3.67478927702349e-05,3.75473445477135e-05
800,640000,2,0,2,502,12,75,1.18678803248566e-05,1.16296688415641e-05,1.21589432034161e-05
800,640000,2,0,2,502,12,100,5.06784067221434e-06,5.03183259293298e-06,5.23019367176213e-06
800,640000,2,0,2,502,12,125,2.71936960349448e-06,2.64842012029915e-06,2.80426046528764e-06
800,640000,2,0,2,502,12,150,1.71179603975548e-06,1.65312216239424e-06,1.72463945490894e-06
800,640000,2,0,2,502,12,175,1.16054341229224e-06,1.13257230705897e-06,1.16749679275777e-06
800,640000,2,0,2,502,12,200,8.01589982558104e-07,7.86736369364244e-07,8.1746509053671e-07
800,640000,2,0,2,502,12,225,6.1082716186514e-07,5.78181773320922e-07,6.11885157474969e-07
800,640000,2,0,2,502,12,250,4.61745062355352e-07,4.44338305198069e-07,4.69475729399566e-07
1000,1000000,1,0,0,0,0,0,1,1,1
1000,1000000,1,0,0,0,0,5,0.0161755208469415,0.0161755208469415,0.0161755208469415
1000,1000000,1,0,0,0,0,10,0.00303534493422474,0.00303534493422474,0.00303534493422474
1000,1000000,1,0,0,0,0,20,0.000476032358542297,0.000476032358542297,0.000476032358542297
1000,1000000,1,0,0,0,0,30,0.00015517599277896,0.00015517599277896,0.00015517599277896
1000,1000000,1,0,0,0,0,50,3.5696293261464e-05,3.5696293261464e-05,3.5696293261464e-05
1000,1000000,1,0,0,0,0,75,1.04524030059959e-05,1.04524030059959e-05,1.04524030059959e-05
1000,1000000,1,0,0,0,0,100,4.43967909970505e-06,4.43967909970505e-06,4.43967909970505e-06
1000,1000000,1,0,0,0,0,125,2.31136514594112e-06,2.31136514594112e-06,2.31136514594112e-06
1000,1000000,1,0,0,0,0,150,1.37148074241392e-06,1.37148074241392e-06,1.37148074241392e-06
1000,1000000,1,0,0,0,0,175,9.08783725808409e-07,9.08783725808409e-07,9.08783725808409e-07
1000,1000000,1,0,0,0,0,200,6.31658205784901e-07,6.31658205784901e-07,6.31658205784901e-07
1000,1000000,1,0,0,0,0,225,4.43375857773927e-07,4.43375857773927e-07,4.43375857773927e-07
1000,1000000,1,0,0,0,0,250,3.21297735940206e-07,3.21297735940206e-07,3.21297735940206e-07
1000,1000000,3,50,0,0,0,0,1,1,1
1000,1000000,3,50,0,0,0,5,0.0161755208469415,0.0161755208469415,0.0161755208469415
1000,1000000,3,50,0,0,0,10,0.00303534493422474,0.00303534493422474,0.00303534493422474
1000,1000000,3,50,0,0,0,20,0.000476032358542297,0.000476032358542297,0.000476032358542297
1000,1000000,3,50,0,0,0,30,0.00015517599277896,0.00015517599277896,0.00015517599277896
1000,1000000,3,50,0,0,0,50,3.5696293261464e-05,3.5696293261464e-05,3.5696293261464e-05
1000,1000000,3,50,0,0,0,75,1.14653703641923e-05,1.14653703641923e-05,1.14653703641923e-05
1000,1000000,3,50,0,0,0,100,4.59050182772572e-06,4.59050182772572e-06,4.59050182772572e-06
1000,1000000,3,50,0,0,0,125,2.77378729086116e-06,2.77378729086116e-06,2.77378729086116e-06
1000,1000000,3,50,0,0,0,150,1.52704506574157e-06,1.52704506574157e-06,1.52704506574157e-06
1000,1000000,3,50,0,0,0,175,1.12234664274128e-06,1.12234664274128e-06,1.12234664274128e-06
1000,1000000,3,50,0,0,0,200,7.8952158060847e-07,7.8952158060847e-07,7.8952158060847e-07
1000,1000000,3,50,0,0,0,225,6.22538567435699e-07,6.22538567435699e-07,6.22538567435699e-07
1000,1000000,3,50,0,0,0,250,4.90147047534837e-07,4.90147047534837e-07,4.90147047534837e-07
1000,1000000,2,0,2,502,12,0,1,1,1
1000,1000000,2,0,2,502,12,5,0.016234090142252,0.0162204486834017,0.0163498750304249
1000,1000000,2,0,2,502,12,10,0.00306162494216329,0.00305170683183597,0.00307968131460053
1000,1000000,2,0,2,502,12,20,0.000484498475030686,0.000482396988853166,0.000488088822634383
1000,1000000,2,0,2,502,12,30,0.000159461327547859,0.000157728383908549,0.000160166136166469
1000,1000000,2,0,2,502,12,50,3.74858429220577e-05,3.70874011859374e-05,3.83974351086525e-05
1000,1000000,2,0,2,502,12,75,1.12978911595584e-05,1.11088435679703e-05,1.16070268194806e-05
1000,1000000,2,0,2,502,12,100,4.93507095884365e-06,4.88531009801716e-06,5.0747292967758e-06
1000,1000000,2,0,2,502,12,125,2.70418323818943e-06,2.62829874893756e-06,2.73158231494073e-06
1000,1000000,2,0,2,502,12,150,1.6253895696613e-06,1.61437331606455e-06,1.66733967829469e-06
1000,1000000,2,0,2,502,12,175,1.11418974875592e-06,1.08919447094614e-06,1.1455639968502e-06
1000,1000000,2,0,2,502,12,200,7.98165792948895e-07,7.75305494456591e-07,8.40636763159572e-07
1000,1000000,2,0,2,502,12,225,5.90837287093728e-07,5.83231370088895e-07,6.4186670139535e-07
1000,1000000,2,0,2,502,12,250,4.5999396431102e-07,4.3682372842833e-07,4.6504491706854e-07
